,Subsector Wise Standards,,"Generated On: Aug 31, 2026 10:08 AM"
,,,
,,,
Sl#,Sector,Subsector,No. of Standards
1,Abrasives,Coated and Boanded AbrasivenGrain Charecteristics nSuper Abrasive nSafety of grinding wheel,71
2,Accounting and Finance Services,Audit Data Services,2
3,Active Assisted Living ,Accessibility of IT Equipments & Services,3
4,Agricultural Management and Practices,Good Agricultural Practices,5
5,Agricultural Management and Practices,Integrated Farming system (IFS) approach ,1
6,Agricultural Management and Practices,Organic/ Natural Agriculture production system,2
7,Agricultural Management and Practices,Protected Agriculture and Precision Farming,10
8,Agriculture,Soil Health Management,1
9,Agriculture Machinery,Crop Protection Equipment ,22
10,Agriculture Machinery,Gardening and Forestry tools and Agriculture Implements,95
11,Agriculture Machinery,Harvesting ,27
12,Agriculture Machinery,Power Tillers ,7
13,Agriculture Machinery,Tractors ,56
14,Air and Space Vehicles,Aerospace Requirements,130
15,Air and Space Vehicles,Space Systems & Operations,30
16,Alloy Steel,Alloy Steel,38
17,Alloy Steel,Forgings,19
18,Alloy Steel,Stainless steel,11
19,Alternative Fuel run Vehicles ,Hydrogen Run Vehicles,16
20,Alternative Fuel run Vehicles ,Natural/Petroleum Gas run Vehicles,18
21,Alternative Fuel run Vehicles ,Refuelling,1
22,"Aluminium and Aluminium alloys , Titanium, Magnesium ",Magnesium and Magnesium Alloys,2
23,"Aluminium and Aluminium alloys , Titanium, Magnesium ",Primary Aluminium and Aluminium Alloys,24
24,"Aluminium and Aluminium alloys , Titanium, Magnesium ",Secondary Aluminium and Aluminium Alloys,48
25,"Aluminium and Aluminium alloys , Titanium, Magnesium ",Titanium and Titanium Alloys,6
26,Anatomy and Forensic Sciences Equipment,Anatomy and Forensic Sciences - SOPs,5
27,Anatomy and Forensic Sciences Equipment,Anatomy and Forensic Sciences Equipment,8
28,"Anesthetic, Resuscitation and Allied Equipment",Airway devices and related equipment,12
29,"Anesthetic, Resuscitation and Allied Equipment",Breathing attachments and anaesthetic machines,5
30,"Anesthetic, Resuscitation and Allied Equipment",Medical gas supply systems,9
31,"Anesthetic, Resuscitation and Allied Equipment",Respiratory devices and related equipment ,14
32,Animal Husbandry,Animal Husbandry Equipment,13
33,Animal Husbandry,Cattle Housing and Transport,6
34,Animal Husbandry,Laboratory Animals and their Quality Mangement,13
35,Animal Husbandry,"Other Animals (including Equines, Pigs, Dogs, Cats and Wild Animals) Housing and Transport",4
36,Animal Husbandry,"Poultry Equipment, Housing and Transport",10
37,Animal Nutrition,Cattle feed and ingredients,52
38,Animal Nutrition,Poultry feed and ingredients,2
39,Animal Nutrition,Test Methods for Animal Feeds,43
40,Arms and Ammunition for Civilian use,Rifle &  Pistol Ammunitions,2
41,Arms and Ammunition for Civilian use,Rifles & Pistols,3
42,Arms and Ammunition for Civilian use,Shotgun Ammunitions and components,12
43,Arms and Ammunition for Civilian use,Shotguns,2
44,Artificial Intelligence,Computational approaches and characteristics of artificial intelligence,2
45,Artificial Intelligence,Foundational AI Standards,12
46,Artificial Intelligence,Trustworthiness,8
47,Assistive Products,NLEAP (National List of Essential Assitive Products),1
48,Assistive Products,Prosthetics & Orthotics,27
